DateKey,Date,Day,WeekNum,Month,MonthNum,Quarter,Year
20130723,2013-07-23,Tuesday,30,Jul,7,3,2013
20130724,2013-07-24,Wednesday,30,Jul,7,3,2013
20130725,2013-07-25,Thursday,30,Jul,7,3,2013
20130726,2013-07-26,Friday,30,Jul,7,3,2013
20130727,2013-07-27,Saturday,30,Jul,7,3,2013
20130728,2013-07-28,Sunday,31,Jul,7,3,2013
20130729,2013-07-29,Monday,31,Jul,7,3,2013
20130730,2013-07-30,Tuesday,31,Jul,7,3,2013
20130731,2013-07-31,Wednesday,31,Jul,7,3,2013
20130801,2013-08-01,Thursday,31,Aug,8,3,2013
20130802,2013-08-02,Friday,31,Aug,8,3,2013
20130803,2013-08-03,Saturday,31,Aug,8,3,2013
20130804,2013-08-04,Sunday,32,Aug,8,3,2013
20130805,2013-08-05,Monday,32,Aug,8,3,2013
20130806,2013-08-06,Tuesday,32,Aug,8,3,2013
20130807,2013-08-07,Wednesday,32,Aug,8,3,2013
20130808,2013-08-08,Thursday,32,Aug,8,3,2013
20130809,2013-08-09,Friday,32,Aug,8,3,2013
20130810,2013-08-10,Saturday,32,Aug,8,3,2013
20130811,2013-08-11,Sunday,33,Aug,8,3,2013
20130812,2013-08-12,Monday,33,Aug,8,3,2013
20130813,2013-08-13,Tuesday,33,Aug,8,3,2013
20130814,2013-08-14,Wednesday,33,Aug,8,3,2013
20130815,2013-08-15,Thursday,33,Aug,8,3,2013
20130816,2013-08-16,Friday,33,Aug,8,3,2013
20130817,2013-08-17,Saturday,33,Aug,8,3,2013
20130818,2013-08-18,Sunday,34,Aug,8,3,2013
20130819,2013-08-19,Monday,34,Aug,8,3,2013
20130820,2013-08-20,Tuesday,34,Aug,8,3,2013
20130821,2013-08-21,Wednesday,34,Aug,8,3,2013
20130822,2013-08-22,Thursday,34,Aug,8,3,2013
20130823,2013-08-23,Friday,34,Aug,8,3,2013
20130824,2013-08-24,Saturday,34,Aug,8,3,2013
20130825,2013-08-25,Sunday,35,Aug,8,3,2013
20130826,2013-08-26,Monday,35,Aug,8,3,2013
20130827,2013-08-27,Tuesday,35,Aug,8,3,2013
20130828,2013-08-28,Wednesday,35,Aug,8,3,2013
20130829,2013-08-29,Thursday,35,Aug,8,3,2013
20130830,2013-08-30,Friday,35,Aug,8,3,2013
20130831,2013-08-31,Saturday,35,Aug,8,3,2013
20130901,2013-09-01,Sunday,36,Sep,9,3,2013
20130902,2013-09-02,Monday,36,Sep,9,3,2013
20130903,2013-09-03,Tuesday,36,Sep,9,3,2013
20130904,2013-09-04,Wednesday,36,Sep,9,3,2013
20130905,2013-09-05,Thursday,36,Sep,9,3,2013
20130906,2013-09-06,Friday,36,Sep,9,3,2013
20130907,2013-09-07,Saturday,36,Sep,9,3,2013
20130908,2013-09-08,Sunday,37,Sep,9,3,2013
20130909,2013-09-09,Monday,37,Sep,9,3,2013
20130910,2013-09-10,Tuesday,37,Sep,9,3,2013
20130911,2013-09-11,Wednesday,37,Sep,9,3,2013
20130912,2013-09-12,Thursday,37,Sep,9,3,2013
20130913,2013-09-13,Friday,37,Sep,9,3,2013
20130914,2013-09-14,Saturday,37,Sep,9,3,2013
20130915,2013-09-15,Sunday,38,Sep,9,3,2013
20130916,2013-09-16,Monday,38,Sep,9,3,2013
20130917,2013-09-17,Tuesday,38,Sep,9,3,2013
20130918,2013-09-18,Wednesday,38,Sep,9,3,2013
20130919,2013-09-19,Thursday,38,Sep,9,3,2013
20130920,2013-09-20,Friday,38,Sep,9,3,2013
20130921,2013-09-21,Saturday,38,Sep,9,3,2013
20130922,2013-09-22,Sunday,39,Sep,9,3,2013
20130923,2013-09-23,Monday,39,Sep,9,3,2013
20130924,2013-09-24,Tuesday,39,Sep,9,3,2013
20130925,2013-09-25,Wednesday,39,Sep,9,3,2013
20130926,2013-09-26,Thursday,39,Sep,9,3,2013
20130927,2013-09-27,Friday,39,Sep,9,3,2013
20130928,2013-09-28,Saturday,39,Sep,9,3,2013
20130929,2013-09-29,Sunday,40,Sep,9,3,2013
20130930,2013-09-30,Monday,40,Sep,9,3,2013
20131001,2013-10-01,Tuesday,40,Oct,10,4,2013
20131002,2013-10-02,Wednesday,40,Oct,10,4,2013
20131003,2013-10-03,Thursday,40,Oct,10,4,2013
20131004,2013-10-04,Friday,40,Oct,10,4,2013
20131005,2013-10-05,Saturday,40,Oct,10,4,2013
20131006,2013-10-06,Sunday,41,Oct,10,4,2013
20131007,2013-10-07,Monday,41,Oct,10,4,2013
20131008,2013-10-08,Tuesday,41,Oct,10,4,2013
20131009,2013-10-09,Wednesday,41,Oct,10,4,2013
20131010,2013-10-10,Thursday,41,Oct,10,4,2013
20131011,2013-10-11,Friday,41,Oct,10,4,2013
20131012,2013-10-12,Saturday,41,Oct,10,4,2013
20131013,2013-10-13,Sunday,42,Oct,10,4,2013
20131014,2013-10-14,Monday,42,Oct,10,4,2013
20131015,2013-10-15,Tuesday,42,Oct,10,4,2013
20131016,2013-10-16,Wednesday,42,Oct,10,4,2013
20131017,2013-10-17,Thursday,42,Oct,10,4,2013
20131018,2013-10-18,Friday,42,Oct,10,4,2013
20131019,2013-10-19,Saturday,42,Oct,10,4,2013
20131020,2013-10-20,Sunday,43,Oct,10,4,2013
20131021,2013-10-21,Monday,43,Oct,10,4,2013
20131022,2013-10-22,Tuesday,43,Oct,10,4,2013
20131023,2013-10-23,Wednesday,43,Oct,10,4,2013
20131024,2013-10-24,Thursday,43,Oct,10,4,2013
20131025,2013-10-25,Friday,43,Oct,10,4,2013
20131026,2013-10-26,Saturday,43,Oct,10,4,2013
20131027,2013-10-27,Sunday,44,Oct,10,4,2013
20131028,2013-10-28,Monday,44,Oct,10,4,2013
20131029,2013-10-29,Tuesday,44,Oct,10,4,2013
20131030,2013-10-30,Wednesday,44,Oct,10,4,2013
20131031,2013-10-31,Thursday,44,Oct,10,4,2013
20131101,2013-11-01,Friday,44,Nov,11,4,2013
20131102,2013-11-02,Saturday,44,Nov,11,4,2013
20131103,2013-11-03,Sunday,45,Nov,11,4,2013
20131104,2013-11-04,Monday,45,Nov,11,4,2013
20131105,2013-11-05,Tuesday,45,Nov,11,4,2013
20131106,2013-11-06,Wednesday,45,Nov,11,4,2013
20131107,2013-11-07,Thursday,45,Nov,11,4,2013
20131108,2013-11-08,Friday,45,Nov,11,4,2013
20131109,2013-11-09,Saturday,45,Nov,11,4,2013
20131110,2013-11-10,Sunday,46,Nov,11,4,2013
20131111,2013-11-11,Monday,46,Nov,11,4,2013
20131112,2013-11-12,Tuesday,46,Nov,11,4,2013
20131113,2013-11-13,Wednesday,46,Nov,11,4,2013
20131114,2013-11-14,Thursday,46,Nov,11,4,2013
20131115,2013-11-15,Friday,46,Nov,11,4,2013
20131116,2013-11-16,Saturday,46,Nov,11,4,2013
20131117,2013-11-17,Sunday,47,Nov,11,4,2013
20131118,2013-11-18,Monday,47,Nov,11,4,2013
20131119,2013-11-19,Tuesday,47,Nov,11,4,2013
20131120,2013-11-20,Wednesday,47,Nov,11,4,2013
20131121,2013-11-21,Thursday,47,Nov,11,4,2013
20131122,2013-11-22,Friday,47,Nov,11,4,2013
20131123,2013-11-23,Saturday,47,Nov,11,4,2013
20131124,2013-11-24,Sunday,48,Nov,11,4,2013
20131125,2013-11-25,Monday,48,Nov,11,4,2013
20131126,2013-11-26,Tuesday,48,Nov,11,4,2013
20131127,2013-11-27,Wednesday,48,Nov,11,4,2013
20131128,2013-11-28,Thursday,48,Nov,11,4,2013
20131129,2013-11-29,Friday,48,Nov,11,4,2013
20131130,2013-11-30,Saturday,48,Nov,11,4,2013
20131201,2013-12-01,Sunday,49,Dec,12,4,2013
20131202,2013-12-02,Monday,49,Dec,12,4,2013
20131203,2013-12-03,Tuesday,49,Dec,12,4,2013
20131204,2013-12-04,Wednesday,49,Dec,12,4,2013
20131205,2013-12-05,Thursday,49,Dec,12,4,2013
20131206,2013-12-06,Friday,49,Dec,12,4,2013
20131207,2013-12-07,Saturday,49,Dec,12,4,2013
20131208,2013-12-08,Sunday,50,Dec,12,4,2013
20131209,2013-12-09,Monday,50,Dec,12,4,2013
20131210,2013-12-10,Tuesday,50,Dec,12,4,2013
20131211,2013-12-11,Wednesday,50,Dec,12,4,2013
20131212,2013-12-12,Thursday,50,Dec,12,4,2013
20131213,2013-12-13,Friday,50,Dec,12,4,2013
20131214,2013-12-14,Saturday,50,Dec,12,4,2013
20131215,2013-12-15,Sunday,51,Dec,12,4,2013
20131216,2013-12-16,Monday,51,Dec,12,4,2013
20131217,2013-12-17,Tuesday,51,Dec,12,4,2013
20131218,2013-12-18,Wednesday,51,Dec,12,4,2013
20131219,2013-12-19,Thursday,51,Dec,12,4,2013
20131220,2013-12-20,Friday,51,Dec,12,4,2013
20131221,2013-12-21,Saturday,51,Dec,12,4,2013
20131222,2013-12-22,Sunday,52,Dec,12,4,2013
20131223,2013-12-23,Monday,52,Dec,12,4,2013
20131224,2013-12-24,Tuesday,52,Dec,12,4,2013
20131225,2013-12-25,Wednesday,52,Dec,12,4,2013
20131226,2013-12-26,Thursday,52,Dec,12,4,2013
20131227,2013-12-27,Friday,52,Dec,12,4,2013
20131228,2013-12-28,Saturday,52,Dec,12,4,2013
20131229,2013-12-29,Sunday,53,Dec,12,4,2013
